Year,Area,ST 2,STrange HTML
2011,NA,Raglan St,
2012,NA,Raglan St,
2012,NA,Rainbow Warehouse Club,
2012,NA,Rainbow Warehouse Club,
2011,Walsall,Raleigh St Walsall,
2012,NA,Ramada Hotel,
2012,NA,Ramada Hotel,
2012,NA,Rea Rd,
2011,Wolverhampton,Rear Of Civic Centre Wolverhampton,
2011,NA,Redacre Rd Boldmere,
2012,NA,Reddicap Hill,
2011,NA,Red Ln,
2011,NA,Redwood Rd,
2012,NA,Reform Way,
2012,NA,Regency Hotel,
2011,NA,Regency Wharf,
2011,NA,Regent Court,
2012,NA,Regent Court Smethwick,
2011,NA,Remembrance Rd,
2012,NA,Reservoir Rd Erdington,
2012,NA,Reservoir Rd Erdington,
2012,NA,Reservoir Rd Erdington,
2012,NA,Reservoir Rd Erdington,
2012,NA,Reservoir Rd Erdington,
2011,NA,Reservoir Rd,
2012,NA,Reservoir Rd,
2011,NA,Rhh,
2011,NA,Richmond Hill Rd,
2011,NA,Richmond Rd,
2011,NA,Richo Areana,
2011,NA,Richo Areana,
2011,NA,Ricoh Arena,
2011,NA,Ricoh Arena,
2011,NA,Ricoh Arena,
2012,NA,Ricoh Arena,
2012,NA,Ricoh Arena,
2012,NA,Ridgeacre Rd,
2012,NA,Ridgeacre Rd,
2011,NA,Ridgeway,
2012,NA,Riley Square,
2011,NA,Ring Rd,
2012,NA,Ring Rd St Davids Underpass,
2011,NA,Ring Rd,
2012,NA,Ringway Queens,
2011,NA,Riverwalk Walk Wood End,
2011,NA,Rochester Close,
2012,NA,Rolf St Station,
2011,Solihuil,Rolls Wood Drive Solihull West Midlands,
2012,NA,Rookery Rd,
2011,NA,Rose Rd,
2011,NA,Rotherhanm Rd,
2012,NA,Rover Drive,
2012,NA,Rover Drive,
2011,NA,Royal Oak Green Ln,
2012,NA,Royal Tiger Ph,
2011,NA,Rushall Hall Hospital,
2011,NA,Ruskin St West Brom,
2011,NA,Russells Hall Hospital,
2012,NA,Saddlers Arms,
2012,NA,Safernake Close,
2012,NA,Sainsbury Oldbury,
2011,NA,Sainsburys. Alcester Rd South,
2011,NA,Sainsburys Colmore Row,
2011,NA,Sainsburys St Georges,
2011,NA,Saints Way West Bromwich,
2011,NA,Salop St,
2011,NA,Salop St,
2012,NA,Salters Rd,
2012,NA,Samson And Lion Pub,
2011,NA,Sandford Rd Moseley,
2012,NA,Sandon Rd,
2012,NA,Sandon Rd,
2011,NA,Sandringham Rd,
2011,Sandwell,Sandwell Hospital,
2011,Sandwell,Sandwell Hospital,
2012,Sandwell,Sandwell Hospital,
2011,Sandwell,Sandwell Hospital A And E,
2011,NA,Sarehole Mill,
2012,NA,School Rd,
2012,NA,School St,
2011,NA,School St,
2011,NA,School St,
2012,NA,School St,
2012,NA,School St,
2012,NA,School St,
2012,NA,Sc Town Centre,
2011,NA,Scolfield Rd Kingshurst,
2011,NA,Scots Ln,
2011,NA,Sedgemere Rd,
2011,NA,Sedgley Bullring,
2011,NA,Sedgley Conservative Club,
2011,NA,Sedgley Conservative Club,
2012,NA,Sedgley Rd West,
2012,NA,Sedgley Rd West,
2011,NA,Selcroft Ave,
2012,NA,Selly Oak Railway Station,
2012,NA,Selly Oak Railway Station,
2011,NA,Sence In The Arcadian,
2012,NA,Serve And Save Aldridge,
2011,NA,Sewall Highway,
2011,NA,Sewall Highway,
2012,NA,Sewall Highway,
2011,Coventry,Sewall Highway Coventry,
2012,NA,Sewell Highway,
2011,NA,Shadwell St,
2011,NA,Shaftsbury St,
2012,NA,Shaftsbury St,
2012,NA,Shannon Rd,
2011,NA,Shawbrook Grove,
2012,NA,Sheath Ln,
2012,NA,Sheepcote St Back Of Brindley Place,
2012,NA,Sheldon Heath Park,
2011,NA,Shell Forecourt Bristol Rd,
2012,NA,Shenly Ln,
2012,NA,Sherlock St,
2012,Wolverhampton,Sherwood St Wolverhampton,
2012,NA,Sherwood St,
2011,NA,Shirley Rd,
2011,NA,Shirley Rd,
2012,NA,Shirral Grove,
2012,NA,Short Heath Rd,
2011,NA,Short St,
2011,NA,Showell Circus,
2011,NA,Silverlands Ave,
2012,NA,Sir Herbert Austin Way,
2011,NA,Skydome,
2011,NA,Skydome,
2011,NA,Skydome,
2011,NA,Skydome,
2011,NA,Skydome,
2011,NA,Skydome,
2012,NA,Skydome,
2012,NA,Skydome,
2012,NA,Skydome,
2011,NA,Skydome Car Park,
2011,NA,Skydome Car Park,
2012,NA,Skydome Carpark,
2012,NA,Skydome Carpark,
2012,NA,Skydome Carpark,
2011,NA,Skydome Complex,
2011,NA,Skydome Complex,
2011,NA,Skydome Complex,
2012,NA,Skydome Complex,
2012,NA,Skydome Complex,
2012,NA,Skydome Complex,
2012,NA,Skydome Complex,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2012,NA,Skydome Concourse,
2012,NA,Skydome Concourse,
2012,NA,Skydome Concourse,
2012,NA,Skydome Concourse,
2012,NA,Skydome Concourse,
2012,NA,Skydome Concourse,
2012,NA,Skydome Concourse,
2012,NA,Skydome Concourse,
2011,NA,Skydome Concourse,
2011,Coventry,Skydome Coventry,
2011,Coventry,Skydome Coventry,
2012,Coventry,Skydome Coventry,
2011,Coventry,Skydome Coventry City Centre,
2011,NA,Sky Blue Way,
2011,NA,Sky Dome,
2011,NA,Sky Dome,
2011,NA,Sky Dome,
2011,NA,Sky Dome,
2011,NA,Sky Dome,
2011,NA,Sky Dome,
2011,NA,Sky Dome,
2011,NA,Sky Dome,
2012,NA,Sky Dome,
2012,NA,Sky Dome,
2012,NA,Sky Dome,
2012,NA,Sky Dome,
2012,NA,Sky Dome,
2012,NA,Sky Dome,
2011,NA,Sky Dome,
2011,NA,Sky Dome,
2011,NA,Sky Dome,
2011,NA,Sky Dome Concourse,
2011,NA,Sky Dome Concourse,
2011,NA,Sky Dome Concourse,
2011,NA,Sky Dome Concourse,
2011,NA,Sky Dome Concourse,
2011,NA,Sky Dome Concourse.,
2011,NA,Sky Dome Concourse Covenmtry,
2011,Coventry,Sky Dome Concourse Coventry,
2012,NA,Slade Rd,
2012,NA,Slade Rd,
2012,NA,Slater St Great Bridge,
2011,NA,Smallbrook Queensway,
2011,NA,Smallbrook Queensway,
2011,NA,Smallbrook Queensway,
2012,NA,Smallbrook Queensway,
2012,NA,Smallbrook Queensway,
2012,NA,Smallbrook Queensway,
2012,NA,Smallbrook Queensway,
2012,NA,Smallbrook Queensway,
2012,NA,Smallbrook Queensway,
2011,Birmingham,Smallbrook Queensway City Centre Birmingham,
2011,NA,Small Brook Queensway,
2011,NA,Smethwick End,
2011,NA,Smethwick Front Office,
2011,NA,Smethwick High St,
2011,NA,Smethwick Police,
2011,NA,Smith House Stoney Ln Bloxwich,
2011,NA,Snax 24 Forcourt,
2011,NA,Snow Hill,
2011,NA,Soho Hill,
2011,NA,Soho Rd,
2011,NA,Soho Rd,
2011,NA,Soho Rd,
2011,NA,Soho Rd,
2012,NA,Soho Rd,
2012,NA,Soho Rd,
2012,NA,Soho Rd,
2012,NA,Soho Rd,
2011,Solihuil,Solihull/ Poplar Rd,
2011,Solihuil,Solihull / Station Rd,
2011,Solihuil,Solihull A+E,
2011,Solihuil,Solihull High St,
2011,Solihuil,Solihull High St,
2012,Solihuil,Solihull High St,
2012,Solihuil,Solihull High St,
2012,Solihuil,Solihull High St,
2011,Solihuil,Solihull High St. Outside Rosies.,
2011,Solihuil,Solihull Hospital,
2011,Solihuil,Solihull Hospital,
2011,Solihuil,Solihull Ln,
2011,Solihuil,Solihull Moors Football Club Damson Parkway Solihull,
2011,Solihuil,Solihull Town Centre,
2011,Solihuil,Solihull Town Centre,
2012,Solihuil,Solihull Town Centre,
2012,Solihuil,Solihull Town Centre,
2012,Solihuil,Solihull Town Centre,
2012,Solihuil,Solihull Town Centre,
2012,Solihuil,Solihull Town Centre,
2011,Solihuil,Solihull Town Centre/ Lode Ln,
2011,Solihuil,Solihull Town Centre/ Outside Kings Chip Shop,
2011,Solihuil,Solihull Town Centre Solihull West Midlands,
2012,NA,Somerset Rd,
2011,NA,Sorell Close,
2012,NA,South Bank Rd,
2011,NA,South Parade,
2011,NA,South Parade,
2011,NA,South Parade,
2011,NA,South Parade,
2011,NA,South Parade,
2011,NA,South Parade,
2011,NA,South Parade,
2011,NA,South Parade,
2011,NA,South Parade,
2011,NA,South Parade,
2011,NA,South Parade,
2011,NA,South Parade,
2012,NA,South Parade,
2012,NA,South Parade,
2012,NA,South Parade,
2012,NA,South Parade,
2012,NA,South Parade,
2012,NA,South Parade,
2012,NA,South Parade  Sutton Coldfield Town Centre,
2012,NA,South Parade O/S Moomoo,
2012,NA,South Parade S/C Town Centre,
2011,NA,South Parade Sutton Coldfield,
2011,NA,South Parade Sutton Coldfield,
2011,NA,South Parade Sutton Coldfield,
2011,NA,South Parade Sutton Coldfield,
2011,NA,South Parade Sutton Town Centre,
2012,NA,Spical St,
2011,Coventry,Spom St Coventry,
2011,NA,Spon End,
2011,Coventry,Spon St Coventry,
2011,Coventry,Spon St Coventry,
2011,Coventry,Spon St Coventry,
2011,Coventry,Spon St Coventry,
2011,Coventry,Spon St Coventry,
2011,Coventry,Spon St Coventry,
2011,Coventry,Spon St Coventry,
2012,Coventry,Spon St Coventry,
2011,NA,Spon St,
2011,NA,Spon St,
2011,NA,Spon St,
2011,NA,Spon St,
2011,NA,Spon St,
2011,NA,Spon St,
2012,NA,Spon St,
2012,NA,Spon St,
2012,NA,Spon St,
2012,NA,Spon St,
2012,NA,Spon St,
2011,NA,Spotted Cow Ph,
2012,NA,Springhill Winson Green,
2011,NA,Square Peg Ph,
2011,NA,Stafford St,
2011,NA,Stafford St,
2011,NA,Stafford St,
2012,NA,Stafford St,
2012,Walsall,Stafford St Walsall,
2011,NA,Stafford St,
2011,NA,Stafford St,
2011,NA,Stafford St,
2012,NA,Stafford St,
2011,NA,Stanley Ave,
2011,NA,Stanley Rd Quinton,
2012,NA,Star City,
2011,NA,Station Rd,
2011,NA,Station Rd At Herbert Rd Junction,
2012,Solihuil,Station Rd Solihull,
2011,Solihuil,Station Rd With Juction Of Herbert Rd Solihull,
2011,NA,Station Rd,
2011,NA,Station Rd,
2011,NA,Station Rd,
2012,NA,Station Rd,
2012,NA,Station Rd,
2011,Solihuil,Station Rd/ High St Solihull,
2011,Solihuil,Station Rd Solihull,
2011,Solihuil,Station Rd Solihull,
2011,Solihuil,Station Rd Solihull,
2011,Solihuil,Station Rd Solihull,
2012,Solihuil,Station Rd Solihull,
2012,NA,Station Rd Stechford,
2012,NA,Station Rd Stechford,
2012,NA,Stealhouse Ln,
2011,NA,Stechford Front Office,
2011,NA,Stechford P.S.,
2012,NA,Stechford Police Station,
2011,NA,Stechford Retail Park.,
2012,NA,Stechford Swimming Baths,
2011,NA,Steelhouse Ln,
2011,NA,Steelhouse Ln,
2011,NA,Steelhouse Ln,
2011,NA,Steelhouse Ln,
2011,NA,Steelhouse Ln,
2011,NA,Steelhouse Ln,
2011,NA,Steelhouse Ln,
2011,NA,Steelhouse Ln,
2012,NA,Steelhouse Ln,
2012,NA,Steelhouse Ln,
2012,NA,Steelhouse Ln City Centre,
2011,NA,Steelhouse Ln Police Station,
2012,NA,Steelhouse Ln Police Station,
2011,NA,Stephenson Ave,
2011,NA,Stephenson St,
2011,NA,Stephenson St,
2011,NA,Stephensons St,
2011,Walsall,Stevenson Sq Walsall,
2011,NA,St Andrews Church,
2011,NA,St Georges Rd,
2012,NA,St Giles Whall,
2012,NA,St Johns Walk,
2011,Coventry,St Lukes Rd Coventry,
2012,NA,St Martins Queensway,
2012,NA,St Mary'S Hospice,
2012,NA,St Marys Rd,
2011,NA,St Marys Row,
2012,NA,St Marys Row,
2011,NA,St Michaels St,
2011,NA,St Michaels St West Brom,
2012,NA,St Michaels St West Brom,
2012,NA,St Michaels St West Bromwich,
2011,NA,St Micheals Square,
2012,NA,St Micheals St West Brom,
2012,NA,St Patricks Rd,
2011,NA,St Paul'S St,
2011,NA,St Pauls Bus Station,
2011,Walsall,St Pauls Bus Station Walsall,
2012,Walsall,St Pauls Bus Station Walsall,
2012,Walsall,St Pauls Bus Station Walsall,
2012,NA,St Pauls Rd,
2012,NA,St Pauls Rd,
2012,NA,St Peters Square,
2012,NA,St Phillips Cathedral,
2011,NA,St Stephens Court,
2011,NA,Stonehenge Croft Druids Heath,
2011,NA,Stonehouse Ln,
2012,NA,Stonehouse Ln,
2012,NA,Stonehouse Public House,
2012,NA,Stone St,
2011,NA,Stonet Stanton Rd Police Station,
2012,NA,Stoney  Stanton Rd,
2011,NA,Stoney Ln,
2011,NA,Stoney Ln,
2011,NA,Stoney Ln,
2011,NA,Stoney Ln,
2011,NA,Stoney Ln,
2012,NA,Stoney Ln,
2011,Walsall,Stoney Ln Walsall,
2012,NA,Stoney Stanton Rd,
2012,NA,Stoney Stanton Rd,
2012,NA,Stoney Stanton Rd,
2012,NA,Stoney Stanton Rd,
2012,NA,Stoney Stanton Rd,
2011,NA,Stornaway Rd Castle Vale,
2011,NA,Stourbridge,
2011,NA,Stourbridge High St,
2012,NA,Stourbridge High St,
2011,NA,Stourbridge High St,
2011,NA,Stourbridge High St,
2011,NA,Stourbridge High St,
2012,NA,Stourbridge High St,
2012,NA,Stourbridge High St,
2012,NA,Stourbridge High St,
2012,NA,Stourbridge High St,
2012,NA,Stourbridge High St,
2012,NA,Stourbridge High St,
2012,NA,Stourbridge High St,
2011,NA,Stourbridge Junction,
2011,NA,Stourbridge Ps Front Office,
2011,NA,Stourbridge Rd Holly Hall,
2012,NA,Stourbridge Rd,
2011,NA,Stourbridge Rd.,
2012,NA,Stourbridge Town Centre,
2011,NA,Stratford Rd,
2011,NA,Stratford Rd,
2011,NA,Stratford Rd,
2012,NA,Stratford Rd,
2012,NA,Stratford Rd,
2012,NA,Stratford Rd,
2012,NA,Stratford Rd Shirley,
2011,NA,Stratford Rds,
2011,NA,Stley Rd Erdington,
2012,NA,Stroud Rd,
2012,NA,Stuart Rd Rowley Regis,
2011,NA,Subway Under Traffic Island At Junction Of Ring Rd And Bilston St,
2011,NA,Suffolk St Queensway,
2011,NA,Suffrage St Smethwick,
2011,NA,Sumburgh Croft,
2011,NA,Summer Ln,
2011,NA,Summer Row,
2012,NA,Sunbeam Way.,
2012,NA,Sunderland Drive Amblecote,
2012,NA,Sunderland Drive Amblecote,
2012,NA,Sunderland Drive Amblecote,
2012,NA,Sunderland Drive Amblecote,
2011,NA,Sutton Coldfield Town Centre,
2011,NA,Sutton Coldfield Town Centre,
2011,NA,Sutton New Rd,
2012,NA,Sutton New Rd,
2011,NA,Sutton New Rd Erdington,
2011,NA,Sutton New Rd Erdington,
2011,NA,Sutton New Rd Erdington,
2011,NA,Sutton Parade,
2011,NA,Sutton Parade,
2011,NA,Sutton Parade,
2011,NA,Sutton Town Centre,
2011,NA,Sutton Town Centre,
2011,NA,Sutton Town Centre,
2011,NA,Sutton Town Centre,
2011,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre,
2012,NA,Sutton Town Centre Outside Moo Moo'S,
2012,NA,Swanshurst Park,
2011,NA,Swanswell Park,
2011,NA,Tachbrook Close,
2011,NA,Talbort St,
2012,NA,Tame Rd,
2011,NA,Tame St,
2012,NA,Tamworth Rd,
2011,NA,Tanemouth Railway Station,
2012,NA,Tanhouse Fish Bar,
2011,Walsall,Tanners Court Glebe St Caldmore Walsall,
2012,NA,Tantarra St,
2012,NA,Tarquin Close,
2012,Walsall,Tasker St Walsall,
2011,NA,Taunton Rd,
2011,NA,Tavistock Rd,
2012,Coventry,Taxi Rank Train Station Coventry,
2011,NA,Tedbury Crescent,
2011,NA,Telford Rd,
2011,NA,Temple Row,
2011,NA,Temple Row,
2011,NA,Temple St,
2011,NA,Tennant St,
2011,NA,Terry Rd,
2011,NA,Tesco Aston Ln,
2011,NA,Tesco Express Amblecote Stourbridge,
2011,NA,Tesco Springhill,
2012,NA,Tescos Burntree,
2011,NA,Tettenhall Rd,
2011,NA,Tettenhall Rd,
2012,NA,Tettenhall Rd,
2012,NA,Tew Park Rd Handsworth,
2012,NA,The Arcadian Centre,
2011,NA,The Ave,
2012,NA,The Bear At Berkswell,
2011,Walsall,The Bridge Town Centre Walsall,
2011,Walsall,The Bridge Walsall,
2011,NA,The Bull Yard City Centre,
2011,NA,The Bullyard,
2011,NA,The Burges,
2012,NA,The Burges,
2011,NA,The Burgess,
2011,NA,The Burgess,
2011,NA,The Burgess,
2012,NA,The Burgess,
2012,NA,The Burgess,
2012,NA,The Butts,
2011,Coventry,The Butts Coventry,
2011,NA,The Butts Retreat Ph,
2012,NA,The Chesils,
2011,NA,The Crescent,
2012,Solihuil,The Cresent Solihull,
2011,NA,The Croft Longford,
2012,Walsall,The Crown Wharf Walsall,
2012,NA,The Flying Standard Public House,
2011,NA,The Fold,
2012,NA,The Fold,
2012,NA,The Grapes Ph O/S,
2011,NA,The Green Darlaston,
2011,NA,The Jester Ph,
2012,NA,The Legends,
2011,NA,The Paer Tree Pub,
2011,NA,The Parade,
2011,NA,The Parade,
2011,NA,The Parade,
2012,NA,The Parade,
2012,NA,The Parade,
2012,NA,The Parade,
2011,NA,The Parade,
2012,NA,The Parade S/C,
2011,NA,The Parade Sutton,
2011,NA,The Parade Sutton Coldfield,
2011,NA,The Parade Sutton Coldfield,
2012,NA,The Parade Sutton Coldfield,
2012,NA,The Parade Suttontown Centre,
2012,NA,The Radleys,
2012,NA,The Radleys,
2011,NA,The Ramp.,
2011,NA,The Ridgeway,
2011,NA,The Ridgeway,
2011,NA,The Ridgeway,
2011,NA,The Swan Ph,
2011,NA,The Village Hotel Shirley,
2012,NA,The Wylde Green Public House,
2011,NA,Thimbermill Recreation Ground,
2012,NA,Thimble Mill Pub,
2011,NA,Thimblemill Rd,
2011,NA,Thimbler Rd,
2011,NA,Thomas House Bloxwich Stoney Ln,
2012,NA,Thompson Ave,
2011,NA,Thornley St,
2011,NA,Thorpe St At Hurst St,
2011,NA,Thorpe St,
2011,NA,Three Horshoes Ph,
2011,NA,Three Shires Oak Rd,
2011,NA,Three Shires Rd,
2012,Walsall,Three Tuns Ph Walsall Rd Willenhall,
2011,Dudley,Tichbourne Place Dudley,
2012,NA,Tile Cross Rd,
2011,Coventry,Tile Hill Ln Coventry,
2012,NA,Tiverton Rd,
2011,NA,Tollgate,
2011,NA,Tollgate  Shopping Centre,
2011,NA,Tollhouse Way Smethwick,
2011,NA,Torrington Ave,
2012,NA,Touchwood Centre,
2012,NA,Tower St,
2012,Wolverhampton,Tower St Wolverhampton,
2011,NA,Tower St,
2012,NA,Trafalgar  House,
2011,NA,Trafalger Rd,
2011,NA,Trescotte Rd,
2011,NA,Trinity Point Link,
2012,NA,Trinity St,
2011,NA,Trinity St,
2011,NA,Trinity St,
2011,NA,Trinity St,
2012,NA,Trinity St,
2012,NA,Trinity St,
2012,NA,Trinity St,
2011,Coventry,Trinity St City Centre Coventry,
2012,NA,Trittiford Rd,
2011,NA,Trocadero Public House O/S,
2011,NA,Trysull Rd,
2012,NA,Turnburry Rd,
2011,NA,Turnhouse Rd,
2011,NA,Turves Green,
2012,NA,Uhcw,
2012,NA,Union Passage,
2012,Birmingham,University Birmingham,
2011,NA,University Hospital,
2011,NA,University Hospital,
2012,NA,University Hospital,
2011,Coventry,University Hospital Coventry,
2012,Coventry,University Hospital Coventry,
2011,NA,Unknown,
2012,NA,Unknown,
2012,NA,Upper Bridge St,
2012,NA,Upper Bridge St,
2012,NA,Upper Bull St O/S Priory Court,
2012,NA,Upper Dean St,
2011,NA,Upper Dean St,
2012,NA,Upper High St,
2011,NA,Upper Holland Rd,
2011,NA,Upper Parade Sutton Coldfield,
2011,NA,Upper Parade Sutton Coldfield,
2012,NA,Upper Rushal St,
2011,NA,Upper Spon St,
2012,NA,Upper Spon St,
2011,Solihuil,Usk Way Smithswood Solihull,
2011,NA,Valbourne Rd Kings Heath,
2012,NA,Valley Rd Bloxwich,
2012,NA,Vicarage Rd Smethwick,
2011,NA,Vicarage St Langley,
2011,NA,Victoria Park Rd Smethwick,
2012,NA,Victoria Passage,
2011,NA,Victoria Rd,
2011,NA,Victoria Rd,
2011,NA,Victoria Rd,
2011,NA,Victoria Rd,
2012,NA,Victoria Square,
2012,NA,Victoria Square,
2012,NA,Victoria Square,
2012,NA,Victoria Square. City Centre.,
2011,NA,Victoria St,
2012,NA,Victoria Steet Small Heath,
2011,NA,Victoria St,
2011,NA,Victoria St,
2012,NA,Victoria St,
2012,NA,Victoria St,
2012,NA,Victoria St,
2012,NA,Victoria St,
2012,NA,Victoria Suite Wimdmill Ln,
2011,NA,Village Hotel,
2011,NA,Vinecote Rd,
2011,NA,Vine St,
2011,NA,Vine St,
2012,NA,Vogue Nightclub,
2012,NA,W'Ton Racecourse,
2012,NA,W'Ton Railway Station,
2011,NA,Wake Green Rd,
2012,NA,Wake Green Rd,
2011,NA,Walhouse Rd,
2011,NA,Walkabout Bar Brd St,
2011,NA,Walker Rd,
2011,NA,Wallace Rd,
2011,NA,Wallace Rd,
2012,NA,Wallace Rd,
2012,NA,Walmley Ash Rd,
2011,Walsall,Walsall Bus Station,
2011,Walsall,Walsall Manor Hospital,
2011,Walsall,Walsall Manor Hospital,
2011,Walsall,Walsall Manor Hospital,
2012,Walsall,Walsall Manor Hospital,
2012,Walsall,Walsall Manor Hospital,
2012,Walsall,Walsall Manor Hospital,
2012,Walsall,Walsall Manor Hospital,
2011,Walsall,Walsall Police Station,
2011,Walsall,Walsall Police Station,
2011,Walsall,Walsall Police Station,
2011,Walsall,Walsall Police Station,
2012,Walsall,Walsall Police Station,
2011,Walsall,Walsall Rd,
2012,Walsall,Walsall Rd,
2011,Walsall,Walsall Rd Darlaston,
2011,Walsall,Walsall Train Station,
2011,NA,Walsgrave Hospital,
2012,NA,Walsgrave Hospital.,
2012,NA,Walsgrave Rd,
2012,NA,Walsgrave Rd,
2012,NA,Walter St West Bromwich,
2012,NA,Walter St West Bromwich,
2011,NA,Wanderers Way,
2012,NA,Ward End Park,
2011,NA,Ward End Rd,
2012,NA,Wareham Rd,
2011,NA,Warf Rd Kings Norton,
2011,NA,War Ln,
2011,NA,Warren Farm Rd,
2011,NA,Warren Farm Rd,
2011,NA,Warstones Drive,
2011,NA,Warwards Ln,
2012,NA,Warwich Rd,
2012,NA,Warwick Crest,
2012,NA,Warwick Rd,
2011,Solihuil,Warwick Rd Solihull,
2011,NA,Warwick Rd,
2011,NA,Warwick Rd,
2011,NA,Warwick Rd,
2011,NA,Warwick Rd,
2011,NA,Warwick Rd,
2011,NA,Warwick Rd,
2011,NA,Warwick Rd,
2011,NA,Warwick Rd,
2012,NA,Warwick Rd,
2012,NA,Warwick Rd,
2012,NA,Warwick Rd Olton,
2012,Solihuil,Warwick Rd Solihull,
2011,NA,Warwick Rd Tysley,
2011,NA,Warwick Row,
2012,Coventry,Warwick Row Coventry,
2011,NA,Warwick University,
2011,NA,Washford Heath Rd,
2011,NA,Wash Ln,
2012,NA,Wash Ln,
2011,NA,Washington St,
2011,NA,Washwood Heath Pub,
2011,NA,Washwood Heath Rd,
2011,NA,Washwood Heath Rd,
2011,NA,Washwood Heath Rd,
2011,NA,Washwood Heath Rd,
2012,NA,Washwood Heath Rd,
2012,NA,Washwood Heath Rd,
2012,NA,Water Orton Ln,
2011,NA,Waterloo Rd,
2011,Wolverhampton,Waterloo Rd Wolverhampton,
2012,NA,Waterloo Rd,
2012,NA,Waterloo Rd,
2012,NA,Waters St,
2012,NA,Watford Rd Coteridge,
2012,NA,Waverly Hill Park,
2011,NA,Wawrick Rd,
2011,NA,Way Entrance Villa Ground,
2011,NA,Wednesbury Rd,
2011,Walsall,Wednesbury Rd Walsall,
2011,NA,Wednesbury Rd,
2012,NA,Wednesbury Rd,
2012,NA,Wednesfield Police Station Carpark,
2012,NA,Wednesfield Rd,
2012,NA,Wednesfield Rd,
2011,NA,Wellington Rd,
2011,NA,Wellington Rd,
2012,NA,Wellington Rd,
2012,NA,Wellington Rd,
2012,NA,Wellington Rd,
2011,NA,Weolly Castle Rd,
2012,NA,West Ave,
2012,NA,West Boulevard,
2012,NA,West Brom High St,
2012,NA,West Brom High St,
2012,NA,West Brom High St,
2012,Walsall,West Brom Rd Walsall,
2011,NA,West Bromwich,
2011,NA,West Bromwich Bus Station,
2011,NA,West Bromwich Front Office,
2011,NA,West Bromwich High St,
2012,NA,West Bromwich Police Station,
2012,NA,West Bromwich Police Statiopn,
2012,NA,West Cliff Place,
2011,NA,West Orchard,
2011,NA,West Orchards Circulatory Rd,
2012,NA,West Park,
2012,Wolverhampton,West Park Wolverhampton,
2011,NA,Westley Rd,
2011,NA,Westminster Rd,
2011,NA,Whitegates Drive Coseley,
2011,NA,Whitehouse Common Rd,
2011,NA,White Hart Public House,
2011,NA,White Hart Public House,
2012,NA,White Horse Public House,
2011,NA,White Rd,
2011,NA,White St,
2012,NA,Whitmore St,
2012,NA,Whitmore St,
2012,NA,Whitomore St,
2012,NA,Widney Ln/ Blossomfield Tennis Club,
2012,NA,Willenhall Ln,
2012,NA,Willenhall Ln,
2011,Coventry,Willenhall Ln Coventry,
2012,NA,Willenhall Library,
2011,NA,Willenhall Police Station Front Office,
2011,NA,Willenhall Ps,
2012,Wolverhampton,Willenhall Rd Wolverhampton,
2012,NA,Willes Rd,
2011,NA,William Hill Market St,
2011,NA,William Hill Washwood Heath Rd,
2011,NA,Wilton Rd,
2011,NA,Windmill Ln,
2011,NA,Windmill Ln,
2011,NA,Windmill Ln,
2012,NA,Windmill Ln,
2012,NA,Windmill Ln,
2012,NA,Windmill Ln,
2011,NA,Windmill Ln  Cape Hill,
2012,NA,Windsor St,
2012,NA,Windsor St,
2011,NA,Windward Rd,
2011,NA,Windward Rd,
2011,NA,Winnalthorpe,
2012,NA,Winson St,
2012,NA,Winson St,
2012,NA,Winsor St,
2011,NA,Witton Arms,
2011,NA,Witton Lodge Rd,
2012,NA,Witton Lodge Rd,
2011,NA,Witton Rd,
2011,NA,Witton Rd,
2011,NA,Witton Rd Aston,
2011,NA,Wolaston Close,
2012,NA,Wolaston Crt,
2012,NA,Wolevrhampton Train Station,
2011,Wolverhampton,Wolverhamptn Train Station,
2012,Wolverhampton,Wolverhampton Bus Stn,
2012,Wolverhampton,Wolverhampton Central Police Station Front Office,
2011,Wolverhampton,Wolverhampton  Train Station,
2011,Wolverhampton,Wolverhampton Railway Station,
2011,Wolverhampton,Wolverhampton Railway Station,
2011,Wolverhampton,Wolverhampton Railway Station,
2012,Wolverhampton,Wolverhampton Railway Station,
2012,Wolverhampton,Wolverhampton Railway Station,
2012,Wolverhampton,Wolverhampton Railway Station,
2012,Wolverhampton,Wolverhampton Railway Station,
2012,Wolverhampton,Wolverhampton Railway Station,
2012,Wolverhampton,Wolverhampton Railway Station,
2012,Wolverhampton,Wolverhampton Railway Station,
2012,Wolverhampton,Wolverhampton Railway Station,
2011,Wolverhampton,Wolverhampton Rd,
